P23,P24,P25,P26,P27,P29,P30,P39,P41,P46,P47
SD0BGSco7,,SD0BGSoco6,,SD0BGSoco5,,SD0BGSco7,SD0BGSco7,SD0BGSco7,SD0BGSco7,SD0BGSco7
SD0BGSoco6,,SD0BGSoco5,,SD0BGSoco4,,SD0BGSoco6,SD0BGSoco6,SD0BGSoco6,SD0BGSoco6,SD0BGSoco6
SD0BGSoco5,,SD0BGSoco4,,SD0BGSoco2,,SD0BGSoco5,SD0BGSoco5,SD0BGSoco5,SD0BGSoco5,SD0BGSoco5
SD0BGSoco4,,SD0BGSco3,,SD0BGSco7,,SD0BGSoco4,SD0BGSoco4,SD0BGSoco4,SD0BGSoco4,SD0BGSco3
SD0BGSco3,,SD4Spn1,,SD0BGSco3,,SD0BGSco3,SD0BGSco3,SD0BGSco3,SD0BGSco3,SD0BGSoco2
,,SD0Sco4,,SD0BGFo1,,SD0BGSoco2,SD0BGSoco2,,SD0BGSoco2,SD0BGSoco4
,,SD2Socn3,,SD3Scn2,,SD0BGFo1,SD0BGFo1,,SD0BGFo1,
,,SD3Socp3,,SD4Spn3,,SD3Fp1,SD1Fn2,,SD0Spo2,
,,SD3Socn1,,SD0Soco6,,SD3Socn1,SD3Spn3,,SD2Spp2,
,,SD4Fp1,,SD5Socn4,,,SD2Spn1,,SD2Spn1,
,,SD5Socn3,,SD5Scn2,,,SD5Socn5,,SD0Soco3,
,,SD1Fp1,,,,,SD2Fp1,,SD1Socn3,
,,SD3Scn3,,,,,SD0Soco3,,SD1Socn1,
,,SD0BGSco7,,,,,SD2Spp1,,,
,,,,,,,SD2Spp2,,,
,,,,,,,SD3Spp1,,,
